name	A	B	C	D	E	price	taste	touch	smell	sight	sound	type	rarity	location	earliestChapter	key
Murkwater Pearl	0	0	0	12	0	27				+		Gem	Uncommon	Mushroom Mire	1	mk
Trollstool Mushroom	0	12	0	0	0	20		+				Fungus	Common	Mushroom Mire	1	tm
Wraith Orchid	0	0	0	12	0	19						Flower	Common	Mushroom Mire	1	wr
Crocodile Tooth	6	0	12	0	0	20						Bone	Common	Mushroom Mire	1	ct
Mud Shrimp	6	0	12	0	0	26			+			Fish	Rare	Mushroom Mire	1	mj
Puckberry	18	0	0	0	0	16						Fruit	Common	Mushroom Mire	1	pu
Sack of Hive Slime	0	0	18	0	0	21						Slime	Common	Mushroom Mire	1	sh
Swamp Fish	12	0	0	6	0	22						Fish	Common	Mushroom Mire	1	qm
Ghostlight Bloom	18	0	0	6	0	28						Flower	Uncommon	Mushroom Mire	1	gb
Miasma Spore	0	18	0	6	0	30						Fungus	Uncommon	Mushroom Mire	1	mi
Qilin's Tri-Horn	0	0	24	0	0	18	-					Bone	Common	Mushroom Mire	1	qt
Swamp Octopus	24	0	0	0	0	18		-				Fish	Common	Mushroom Mire	1	qc
Warg Pheromones	12	0	12	0	0	26						Essences	Uncommon	Mushroom Mire	1	wh
Bog Beet	0	27	0	0	0	27	-				+	Plant	Rare	Mushroom Mire	1	bb
Hydra Vertebra	9	9	9	0	0	35						Bone	Common	Mushroom Mire	1	hv
Moss Berries	0	10	0	20	0	35						Fruit	Common	Mushroom Mire	1	mf
Raven's Shadow	0	10	12	18	0	52						Essence	Rare	Mushroom Mire	1	rw
Bubble Ooze	9	9	12	12	0	60						Slime	Epic	Mushroom Mire	1	bu
Fairy Flower Bloom	20	0	0	0	0	35			+			Flower	Common	Shadow Steppe	2	fm
Shadowveil Pearl	0	0	0	20	0	38				+		Gem	Uncommon	Shadow Steppe	2	sv
Cobweb Crayfish	10	0	20	0	0	48			+			Fish	Rare	Shadow Steppe	2	cy
Hallucinatory Shroom	0	0	30	0	0	36	+				-	Fungus	Rare	Shadow Steppe	2	hm
Sack of Composite Slime	0	0	30	0	0	36						Slime	Common	Shadow Steppe	2	sc
Banshee's Bloody Tongue	0	40	0	0	0	32			-			Flesh	Common	Shadow Steppe	2	bt
Barghast Canine	0	30	0	0	10	55						Bone	Rare	Shadow Steppe	2	bc
Photonic Spore	0	10	0	30	0	52	-		+			Fungus	Epic	Shadow Steppe	2	ps
Spider's-Bait Diamond	0	20	20	0	0	50						Gem	Uncommon	Shadow Steppe	2	qd
Dropspider's Shadow	0	0	30	20	10	90						Essences	Rare	Shadow Steppe	2	do
Mosquito Plant	10	0	20	0	30	105						Plant	Epic	Shadow Steppe	2	mq
Mote of Mana	15	15	15	15	15	130						Pure Mana	Epic	Shadow Steppe	2	mt
Rotfly Adult	0	0	20	0	0	38	+					Bug	Uncommon	Ocean Coasts	2	ra
Jelly Blossom	0	0	0	0	30	55						Flower	Rare	Ocean Coasts	2	jb
Mandragon Root	0	30	0	0	0	34						Plant	Common	Ocean Coasts	2	md
Reef Radish	0	30	0	0	0	32	-				+	Plant	Rare	Ocean Coasts	2	rr
Selkie Lice	10	20	0	0	0	50		+				Bug	Rare	Ocean Coasts	2	sl
Dwarf Kraken	40	0	0	0	0	30		-				Fish	Common	Ocean Coasts	2	dk
Nessie Pheromones	20	0	20	0	0	50						Essences	Common	Ocean Coasts	2	nh
Phantom Pomme	0	10	30	0	0	64	+				-	Fruit	Epic	Ocean Coasts	2	pp
Saltwatermelon	0	0	0	40	0	44				-		Fruit	Uncommon	Ocean Coasts	2	sw
Sea Salt	30	0	0	0	10	55						Mineral	Uncommon	Ocean Coasts	2	sa
Abyssalite	30	20	0	0	10	79						Mineral	Uncommon	Ocean Coasts	2	al
Malachite Ore	30	10	0	0	20	93						Ores	Rare	Ocean Coasts	2	mo
Squid Vine	20	20	15	0	15	135						Plant	Rare	Ocean Coasts	2	qv
Giantstool Mushroom	0	20	0	0	0	40		+				Fungus	Common	Storm Plains	2	gm
Antlered Jelly	30	0	0	0	0	28		-		+		Slime	Uncommon	Storm Plains	2	aj
Bogeyberry	30	0	0	0	0	30						Fruit	Common	Storm Plains	2	by
Electrocution Eel	10	10	10	0	0	45				+		Fish	Uncommon	Storm Plains	2	ee
Fulgurite Ore	0	0	0	30	0	40						Ores	Uncommon	Storm Plains	2	fo
Static Spiderling	0	0	0	0	30	50				-	+	Bug	Rare	Storm Plains	2	qp
Raiju Droppings	0	0	30	10	0	55						Essences	Uncommon	Storm Plains	2	rd
Slapping Turtle's Shell	20	20	0	0	0	46						Mineral	Common	Storm Plains	2	ql
Spriggan Antler	0	0	40	0	0	38	-					Bone	Uncommon	Storm Plains	2	qa
Thunderbird's Molted Feather	0	0	30	0	10	60						Flesh	Rare	Storm Plains	2	tf
Copper Dollop	15	15	15	15	0	95						Slime	Rare	Storm Plains	2	cu
Fire Flower	40	0	0	20	0	55			-			Flower	Rare	Storm Plains	2	ff
Thunder Quartz	30	10	20	0	0	72						Gem	Uncommon	Storm Plains	2	tq
Bramble Rose	16	0	0	0	0	45		+			+	Flower	Uncommon	Sulfuric Falls	3	bm
Daydream Pomme	0	24	8	0	0	75				+	+	Fruit	Rare	Sulfuric Falls	3	dy
Rotfly Matriarch	0	0	32	0	0	65	+					Bug	Common	Sulfuric Falls	3	rm
Acid Rutabaga	0	48	0	0	0	54	-				+	Plant	Common	Sulfuric Falls	3	ar
Creeping Mildew	16	0	0	0	48	92						Fungus	Uncommon	Sulfuric Falls	3	cm
Lamia's Shed Scales	0	0	0	48	16	110						Flesh	Uncommon	Sulfuric Falls	3	ls
Naga's Fang	0	48	0	0	16	98		-			+	Bone	Common	Sulfuric Falls	3	nf
Rottermelon	0	0	0	64	0	68				-		Fruit	Common	Sulfuric Falls	3	ro
Scimitar Crab's Shell	32	32	0	0	0	76						Mineral	Common	Sulfuric Falls	3	sb
Shelled Pudding	32	0	0	32	0	90						Slime	Common	Sulfuric Falls	3	sp
Hangman Eel	24	24	24	0	0	95						Fish	Uncommon	Sulfuric Falls	3	he
Acid Pitfall Plant	16	0	40	0	40	145						Plant	Uncommon	Sulfuric Falls	3	ap
Bioplasm	0	48	32	16	0	125				-	+	Essences	Rare	Sulfuric Falls	3	bi
Weeping Metal Ore	0	32	64	0	0	66		-				Ore	Common	Sulfuric Falls	3	wo
Charredonnay	48	0	48	24	24	260	-					Fruit	Rare	Sulfuric Falls	3	ch
Poison Quartz	64	48	0	32	0	185					-	Gem	Rare	Sulfuric Falls	3	pz
Eye of Newt	0	16	0	0	0	34	+	+				Flesh	Uncommon	Crystalline Forest	3	en
Djinn Blossom	24	0	0	8	0	68	+		+			Flower	Uncommon	Crystalline Forest	3	dj
Lustrous Pearl	0	0	0	32	0	60				+		Gem	Common	Crystalline Forest	3	lp
Delirium Shroom	0	0	48	0	0	63	+				-	Fungus	Common	Crystalline Forest	3	dh
Sequined Custard	0	0	32	0	16	84				+		Slime	Uncommon	Crystalline Forest	3	sq
Phoenix Tear	0	24	24	8	0	82		+				Essence	Epic	Crystalline Forest	3	ph
Daredevil Pepper	0	32	0	32	0	90						Plant	Common	Crystalline Forest	3	dd
Geode Citrus	0	16	0	0	48	94						Fruit	Uncommon	Crystalline Forest	3	gc
Ogre's Shadow	32	0	32	0	0	74						Essences	Common	Crystalline Forest	3	os
Owlbear Pheromones	0	0	0	0	64	90			-			Essences	Uncommon	Crystalline Forest	3	oh
Jeweled Scarab	0	24	24	24	0	105						Bug	Common	Crystalline Forest	3	js
Chimera Waste	0	0	64	32	0	118			-			Essences	Common	Crystalline Forest	3	cw
Silver Dollop	24	24	24	24	0	138						Slime	Epic	Crystalline Forest	3	ag
Lazuli Ore	64	48	0	0	32	174					-	Ores	Rare	Crystalline Forest	3	lo
Pegasus Mite	96	48	0	0	0	134		-			-	Bug	Uncommon	Crystalline Forest	3	pm
Shallow Grave Enoki	32	64	64	32	0	200		-	-			Fungus	Rare	Crystalline Forest	3	se
Celestial Ore	0	0	16	0	0	45			+	+		Ore	Uncommon	Ice Craggs	3	cl
Crag Crab	0	0	0	0	32	75			+			Fish	Rare	Ice Craggs	3	cb
Rock Salt	24	0	0	0	8	68	+			+		Mineral	Uncommon	Ice Craggs	3	rk
Feathered Gelatin	0	0	0	48	0	62		+	-			Slime	Uncommon	Ice Craggs	3	fg
Harpy's Heart of Stone	16	0	0	32	0	76		+				Flesh	Uncommon	Ice Craggs	3	hh
Sepulcher Widow	0	0	0	0	48	82				-	+	Bug	Uncommon	Ice Craggs	3	sd
Courtier's Orchid	8	24	24	0	0	72			+			Flower	Epic	Ice Craggs	3	co
Griffin's-Whetstone Diamond	0	32	32	0	0	86						Gem	Common	Ice Craggs	3	gw
Medusa Spore	0	48	0	16	0	94	-		+			Fungus	Common	Ice Craggs	3	mu
Silver Stag Antler	0	0	64	0	0	72	-					Bone	Common	Ice Craggs	3	sg
Watchdog Daisy	0	16	0	48	0	83						Flower	Common	Ice Craggs	3	wd
Harpy's Snare	24	24	24	0	24	150						Plant	Epic	Ice Craggs	3	hs
Stalking Skeleton's Fibula	0	0	40	40	16	150						Bone	Uncommon	Ice Craggs	3	qf
Supernalite	48	32	0	16	0	134	-			+		Mineral	Rare	Ice Craggs	3	su
Avalanche Cricket	24	24	32	32	0	140	+	-				Bug	Common	Ice Craggs	3	ac
Ember of Mana	24	24	24	24	24	165						Pure Mana	Epic	Ice Craggs	3	em
Buoyant Blowfish	96	0	48	0	0	138				-	-	Fish	Uncommon	Ice Craggs	3	bw
Basilisk's Cornea	0	22	0	0	0	54	+	+				Flesh	Uncommon	Dragon Oasis	4	bo
Dragonbreath Blossom	33	0	0	11	0	76	+		+			Flower	Uncommon	Dragon Oasis	4	db
Dragonfire Pearl	0	0	0	44	0	76				+		Gem	Rare	Dragon Oasis	4	dl
Bedazzled Custard	0	0	44	0	22	95				+		Slime	Common	Dragon Oasis	4	bz
Pandemonium Shroom	66	0	0	0	0	72	+				-	Fungus	Common	Dragon Oasis	4	pd
Dragon Tear	0	33	33	11	0	118		+				Essences	Uncommon	Dragon Oasis	4	dt
Amphithere's Shadow	44	0	44	0	0	114						Essences	Common	Dragon Oasis	4	as
Dragon Pheromones	0	0	0	0	88	151			-			Essences	Uncommon	Dragon Oasis	4	dp
Dragonegg Citrus	0	22	0	0	66	124						Fruit	Uncommon	Dragon Oasis	4	dc
Widowmaker Pepper	0	44	0	44	0	126						Plant	Common	Dragon Oasis	4	wp
Magma Beetle	0	33	33	33	0	124						Bug	Common	Dragon Oasis	4	ma
Dragon Dung	0	0	88	44	0	173			-			Essences	Uncommon	Dragon Oasis	4	du
Gold Dollop	33	33	33	33	0	176						Slime	Rare	Dragon Oasis	4	au
Mana Blaze	50	40	30	20	10	234		+	+			Pure Mana	Epic	Dragon Oasis	4	mb
Amethyst Ore	66	66	0	0	33	206					-	Ores	Uncommon	Dragon Oasis	4	ao
Dragonblood Tick	132	66	0	0	0	174		-			-	Bug	Uncommon	Dragon Oasis	4	da
Funeral Pyre Enoki	88	88	44	44	0	280		-	-			Fungus	Epic	Dragon Oasis	4	fe
Inverted Bramble-Rose	22	0	0	0	0	46		+			+	Flower	Uncommon	Crater	4	ib
Nightmare Pomme	0	33	11	0	0	72				+	+	Fruit	Rare	Crater	4	np
Rotfly Mutant	0	0	44	0	0	74	+					Bug	Common	Crater	4	ru
Cosmic Cassava	0	66	0	0	0	82	-				+	Plant	Common	Crater	4	cv
Slaughtermelon	0	0	0	76	0	105				-		Fruit	Common	Crater	4	qr
Armored Pudding	44	0	0	44	0	115						Slime	Common	Crater	4	ad
Body Snatcher's Sloughed Skin	0	0	0	66	22	132						Flesh	Rare	Crater	4	bk
Elder Being's Tusk	0	66	0	0	22	114		-			+	Bone	Uncommon	Crater	4	el
Space Nautilus's Shell	44	44	0	0	0	102						Mineral	Common	Crater	4	sn
Stalking Mold	22	0	0	0	66	123						Fungus	Common	Crater	4	qo
Guillotine Eel	33	33	33	0	0	126						Fish	Common	Crater	4	ge
Barracuda Plant	22	0	55	0	55	172						Plant	Common	Crater	4	bp
Liquid Metal Ore	0	44	88	0	0	162		-				Ores	Common	Crater	4	lm
Xenoplasm	0	55	55	22	0	166				-	+	Essences	Rare	Crater	4	xp
Cosmic Quartz	66	33	0	66	0	204					-	Gem	Uncommon	Crater	4	cq
Spark of Mana	33	33	33	33	33	215						Pure Mana	Epic	Crater	4	sm
Xeno Noir	66	0	66	33	33	236	-					Fruit	Rare	Crater	4	xr
Nether Ore	0	0	22	0	0	51			+	+		Ores	Rare	Arctic	4	no
Blackfrost Lobster	0	0	0	0	44	104			+			Fish	Uncommon	Arctic	4	bl
Diamond Salt	33	0	0	0	11	85	+			+		Mineral	Uncommon	Arctic	4	di
Abominable Tarantula	0	0	0	0	66	105				-	+	Bug	Uncommon	Arctic	4	at
Jotunn's Frozen Heart	22	0	0	44	0	98		+				Flesh	Uncommon	Arctic	4	jh
Winged Gelatin	0	0	0	66	0	103		+	-			Slime	Uncommon	Arctic	4	wg
Orchid of the Ice Princess	11	33	0	33	0	116			+			Flower	Rare	Arctic	4	op
Direwolf's-Breath Diamond	0	44	44	0	0	118						Gem	Common	Arctic	4	dw
Hellhound Daisy	0	22	0	66	0	125						Flower	Uncommon	Arctic	4	hd
Snowflake Spore	0	66	0	22	0	108	-		+			Fungus	Common	Arctic	4	qw
Yeti Antler	0	0	88	0	0	104	-					Bone	Common	Arctic	4	ya
Death's Embrace	33	33	33	0	33	196						Plant	Epic	Arctic	4	de
Draugr's Tibia	0	0	55	55	22	184						Bone	Uncommon	Arctic	4	dr
Hoarite	55	55	0	22	0	167	-			+		Mineral	Rare	Arctic	4	ho
Frost Hopper	33	33	44	44	0	196	+	-				Bug	Common	Arctic	4	fh
Icicle Pufferfish	132	0	66	0	0	210				-	-	Fish	Uncommon	Arctic	4	ip
Mana Conflagration	35	45	55	65	75	316			-	-		Pure Mana	Epic	Arctic	4	mc
Blightroach	0	42	42	42	0	185						Bug	Common	Magical Wasteland	5	br
Cyclops Skull	0	0	42	42	42	200						Bone	Common	Magical Wasteland	5	ck
Lethal Injection Eel	42	42	42	0	0	164						Fish	Common	Magical Wasteland	5	le
Platinum Slime	42	42	42	0	0	178						Slime	Rare	Magical Wasteland	5	pt
Arcane Truffle	0	42	42	42	42	236						Fungus	Rare	Magical Wasteland	5	af
Ectoplasm	0	70	70	28	0	226				-	+	Essences	Rare	Magical Wasteland	5	ep
Lich's Femur	0	0	70	70	28	247						Bone	Uncommon	Magical Wasteland	5	lf
Nuclear Shadow	0	70	70	28	0	228		+				Essences	Rare	Magical Wasteland	5	ns
Orchid of the Witch Queen	28	70	0	70	0	248			+			Flower	Rare	Magical Wasteland	5	oq
Sorcerite	70	70	0	28	0	232	-			+		Mineral	Rare	Magical Wasteland	5	so
Venous Witch-Trap	28	0	70	0	70	214						Plant	Uncommon	Magical Wasteland	5	vw
Witchbramble Vine	42	42	42	0	42	210						Plant	Rare	Magical Wasteland	5	wv
Arcane Quartz	84	0	0	84	42	264					-	Gem	Uncommon	Magical Wasteland	5	aq
Blackgold Ore	84	84	0	0	42	256					-	Ores	Uncommon	Magical Wasteland	5	bg
Dazzling Mana	42	42	42	42	42	345		+	+			Pure Mana	Epic	Magical Wasteland	5	dz
Mana Heart	28	28	28	98	28	450	+		+			Pure Mana	Epic	Magical Wasteland	5	mh
Mana Maelstrom	98	28	28	28	28	375				+	+	Pure Mana	Epic	Magical Wasteland	5	mm
Mana Prism	28	28	98	28	28	425		+		+		Pure Mana	Epic	Magical Wasteland	5	mp
Mana Singularity	28	28	28	28	98	475			+		+	Pure Mana	Epic	Magical Wasteland	5	ms
Mana Vortex	28	98	28	28	28	400	+				+	Pure Mana	Epic	Magical Wasteland	5	mv
Hocus Locust	28	28	140	28	0	287	+	-				Bug	Epic	Magical Wasteland	5	hl
Underworld Pomegranate	28	28	28	140	0	332	+			-		Fruit	Epic	Magical Wasteland	5	up
Sinfandel	80	0	80	80	40	362	-					Fruit	Rare	Magical Wasteland	5	si
Mass Grave Enoki	56	112	112	56	0	386		-	-			Fungus	Rare	Magical Wasteland	5	me
