Name	A	B	C	D	E	Magimin	Price	Value	Taste	Touch	Smell	Sight	Sound	PriceMod	Type	Rarity	Location
Sack of Hive Slime	0	0	18	0	0	18	21	0.857						0%	Slime	Common	Mushroom Mire
Sphinx Flea	12	6	0	0	0	18	35	0.514		Good				5%	Bug	Rare	Bone Wastes
Swamp Fish	12	0	0	6	0	18	22	0.818						0%	Fish	Common	Mushroom Mire
Fairy Flower Bloom	20	0	0	0	0	20	35	0.571			Good			5%	Flower	Common	Shadow Steppe
Giantstool Mushroom	0	20	0	0	0	20	40	0.250		Good				5%	Fungus	Common	Storm Plains
Rotfly Adult	0	0	20	0	0	20	38	0.526	Good					5%	Bug	Uncommon	Ocean Coasts
Shadowveil Pearl	0	0	0	20	0	20	38	0.526				Good		5%	Gem	Uncommon	Shadow Steppe
Basilisk's Cornea	0	22	0	0	0	22	54	0.407	Good	Good				10%	Flesh	Uncommon	Dragon Oasis
Nether Ore	0	0	22	0	0	22	51	0.431			Good	Good		10%	Ores	Rare	Arctic
Figment Pomme	0	18	6	0	0	24	26	0.923						0%	Fruit	Uncommon	Bone Wastes
Ghostlight Bloom	18	0	0	6	0	24	28	0.857						0%	Flower	Uncommon	Mushroom Mire
Golem's-Eye Diamond	0	12	12	0	0	24	28	0.857						0%	Gem	Uncommon	Bone Wastes
Leech Snail's Shell	12	12	0	0	0	24	26	0.923						0%	Mineral	Uncommon	Bone Wastes
Miasma Spore	0	18	0	6	0	24	30	0.800						0%	Fungus	Uncommon	Mushroom Mire
Qilin's Tri-Horn	0	0	24	0	0	24	18	1.333	Bad					-5%	Bone	Common	Mushroom Mire
Salamander's Fiery Tongue	0	24	0	0	0	24	22	1.091			Bad			-5%	Flesh	Common	Bone Wastes
Swamp Octopus	24	0	0	0	0	24	18	1.333		Bad				-5%	Fish	Common	Mushroom Mire
Warg Pheromones	12	0	12	0	0	24	26	0.923						0%	Essences	Uncommon	Mushroom Mire
Bog Beet	0	27	0	0	0	27	27	1.000	Bad				Good	0%	Plant	Rare	Mushroom Mire
Hydra Vertebra	9	9	9	0	0	27	35	0.771						0%	Bone	Common	Mushroom Mire
Antlered Jelly	30	0	0	0	0	30	28	1.071		Bad		Good		0%	Slime	Uncommon	Storm Plains
Bogeyberry	30	0	0	0	0	30	30	1.000						0%	Fruit	Common	Storm Plains
Cobweb Crayfish	10	0	20	0	0	30	48	0.625			Good			5%	Fish	Rare	Shadow Steppe
Electrocution Eel	10	10	10	0	0	30	45	0.667				Good		5%	Fish	Uncommon	Storm Plains
Fulgurite Ore	0	0	0	30	0	30	40	0.750						0%	Ores	Uncommon	Storm Plains
Hallucinatory Shroom	0	0	30	0	0	30	36	1.667	Good				Bad	0%	Fungus	Rare	Shadow Steppe
Jelly Blossom	0	0	0	0	30	30	55	0.545						0%	Flower	Rare	Ocean Coasts
Mandragon Root	0	30	0	0	0	30	34	0.882						0%	Plant	Common	Ocean Coasts
Moss Berries	0	10	20	0	0	30	35	0.857						0%	Fruit	Common	Mushroom Mire
Reef Radish	0	30	0	0	0	30	32	0.938	Bad				Good	0%	Plant	Rare	Ocean Coasts
Sack of Composite Slime	0	0	30	0	0	30	36	1.667						0%	Slime	Common	Shadow Steppe
Selkie Lice	10	20	0	0	0	30	50	0.600		Good				5%	Bug	Rare	Ocean Coasts
Static Spiderling	0	0	0	0	30	30	50	0.600				Bad	Good	0%	Bug	Rare	Storm Plains
Crag Crab	0	0	0	0	32	32	75	0.427			Good			5%	Fish	Rare	Ice Craggs
Daydream Pomme	0	24	8	0	0	32	75	0.427				Good	Good	10%	Fruit	Rare	Sulfuric Falls
Djinn Blossom	24	0	0	8	0	32	68	0.471	Good		Good			10%	Flower	Uncommon	Crystalline Forest
Lustrous Pearl	0	0	0	32	0	32	60	0.533				Good		5%	Gem	Common	Crystalline Forest
Rock Salt	24	0	0	0	8	32	68	0.471	Good			Good		10%	Mineral	Uncommon	Ice Craggs
Rotfly Matriarch	0	0	32	0	0	32	65	0.492	Good					5%	Bug	Common	Sulfuric Falls
Frog Leg	0	0	24	12	0	36	33	1.091				Bad		-5%	Flesh	Epic	Bone Wastes
Banshee's Bloody Tongue	0	40	0	0	0	40	32	1.250			Bad			-5%	Flesh	Common	Shadow Steppe
Barghast Canine	0	30	0	0	10	40	55	0.364						0%	Bone	Rare	Shadow Steppe
Dwarf Kraken	40	0	0	0	0	40	30	1.333		Bad				-5%	Fish	Common	Ocean Coasts
Golemite	18	12	0	10	0	40	38	1.053						0%	Mineral	Rare	Bone Wastes
Nessie Pheromones	20	0	20	0	0	40	50	0.800						0%	Essences	Common	Ocean Coasts
Phantom Pomme	0	10	30	0	0	40	64	0.625	Good				Bad	0%	Fruit	Epic	Ocean Coasts
Photonic Spore	0	10	0	30	0	40	52	0.769	Bad		Good			0%	Fungus	Epic	Shadow Steppe
Raiju Droppings	0	0	30	10	0	40	55	0.727						0%	Essences	Uncommon	Storm Plains
Raven's Shadow	0	10	12	18	0	40	52	0.769						0%	Essence	Rare	Mushroom Mire
Saltwatermelon	0	0	0	40	0	40	44	0.909				Bad		-5%	Fruit	Uncommon	Ocean Coasts
Sea Salt	30	0	0	0	10	40	55	0.727						0%	Mineral	Uncommon	Ocean Coasts
Slapping Turtle's Shell	20	20	0	0	0	40	46	0.435						0%	Mineral	Common	Storm Plains
Spider's-Bait Diamond	0	20	20	0	0	40	50	0.800						0%	Gem	Uncommon	Shadow Steppe
Spriggan Antler	0	0	40	0	0	40	38	1.053	Bad					-5%	Bone	Uncommon	Storm Plains
Thunderbird's Molted Feather	0	0	30	0	10	40	60	0.667						0%	Flesh	Rare	Storm Plains
Bubble Ooze	9	9	12	12	0	42	60	0.700						0%	Slime	Epic	Mushroom Mire
Blackfrost Lobster	0	0	0	0	44	44	104	0.423			Good			5%	Fish	Uncommon	Arctic
Diamond Salt	33	0	0	0	11	44	85	0.518	Good			Good		10%	Mineral	Uncommon	Arctic
Dragonbreath Blossom	33	0	0	11	0	44	76	0.579	Good		Good			10%	Flower	Uncommon	Dragon Oasis
Dragonfire Pearl	0	0	0	44	0	44	76	0.579				Good		5%	Gem	Rare	Dragon Oasis
Nightmare Pomme	0	33	11	0	0	44	72	0.611				Good	Good	10%	Fruit	Rare	Crater
Rotfly Mutant	0	0	44	0	0	44	74	0.595	Good					5%	Bug	Common	Crater
Acid Rutabaga	0	48	0	0	0	48	54	0.889	Bad				Good	0%	Plant	Common	Sulfuric Falls
Delirium Shroom	0	0	48	0	0	48	63	0.762	Good				Bad	0%	Fungus	Common	Crystalline Forest
Feathered Gelatin	0	0	0	48	0	48	62	0.774		Good	Bad			0%	Slime	Uncommon	Ice Craggs
Harpy's Heart of Stone	16	0	0	32	0	48	76	0.632		Good				5%	Flesh	Uncommon	Ice Craggs
Sepulcher Widow	0	0	0	0	48	48	82	0.585				Bad	Good	0%	Bug	Uncommon	Ice Craggs
Sequined Custard	0	0	32	0	16	48	84	0.571				Good		5%	Slime	Uncommon	Crystalline Forest
Courtier's Orchid	8	24	24	0	0	56	72	0.778			Good			5%	Flower	Epic	Ice Craggs
Phoenix Tear	0	24	24	8	0	56	82	0.683		Good				5%	Essence	Epic	Crystalline Forest
Abyssalite	30	20	0	0	10	60	79	0.759						0%	Mineral	Uncommon	Ocean Coasts
Copper Dollop	15	15	15	15	0	60	95	0.632						0%	Slime	Rare	Storm Plains
Dropspider's Shadow	0	0	30	20	10	60	90	0.667						0%	Essences	Rare	Shadow Steppe
Fire Flower	40	0	0	20	0	60	55	1.091			Bad			-5%	Flower	Rare	Storm Plains
Malachite Ore	30	10	0	0	20	60	93	0.645						0%	Ores	Rare	Ocean Coasts
Mosquito Plant	10	0	20	0	30	60	105	0.571						0%	Plant	Epic	Shadow Steppe
Thunder Quartz	30	10	20	0	0	60	72	0.417						0%	Gem	Uncommon	Storm Plains
Creeping Mildew	16	0	0	0	48	64	92	0.695						0%	Fungus	Uncommon	Sulfuric Falls
Daredevil Pepper	0	32	0	32	0	64	90	0.711						0%	Plant	Common	Crystalline Forest
Geode Citrus	0	16	0	0	48	64	94	0.681						0%	Fruit	Uncommon	Crystalline Forest
Griffin's-Whetstone Diamond	0	32	32	0	0	64	86	0.744						0%	Gem	Common	Ice Craggs
Lamia's Shed Scales	0	0	0	48	16	64	110	0.582						0%	Flesh	Uncommon	Sulfuric Falls
Medusa Spore	0	48	0	16	0	64	94	0.681	Bad		Good			0%	Fungus	Common	Ice Craggs
Naga's Fang	0	48	0	0	16	64	98	0.653		Bad			Good	0%	Bone	Common	Sulfuric Falls
Ogre's Shadow	32	0	32	0	0	64	74	0.865						0%	Essences	Common	Crystalline Forest
Owlbear Pheromones	0	0	0	0	64	64	90	0.711			Bad			-5%	Essences	Uncommon	Crystalline Forest
Rottermelon	0	0	0	64	0	64	68	0.941				Bad		-5%	Fruit	Common	Sulfuric Falls
Scimitar Crab's Shell	32	32	0	0	0	64	76	0.842						0%	Mineral	Common	Sulfuric Falls
Shelled Pudding	32	0	0	32	0	64	90	0.711						0%	Slime	Common	Sulfuric Falls
Silver Stag Antler	0	0	64	0	0	64	72	0.889	Bad					-5%	Bone	Common	Ice Craggs
Watchdog Daisy	0	16	0	48	0	64	83	0.771						0%	Flower	Common	Ice Craggs
Abominable Tarantula	0	0	0	0	66	66	105	0.629				Bad	Good	0%	Bug	Uncommon	Arctic
Bedazzled Custard	0	0	44	0	22	66	95	0.695				Good		5%	Slime	Common	Dragon Oasis
Jotunn's Frozen Heart	22	0	0	44	0	66	98	0.673		Good				5%	Flesh	Uncommon	Arctic
Pandemonium Shroom	66	0	0	0	0	66	72	0.917	Good				Bad	0%	Fungus	Common	Dragon Oasis
Winged Gelatin	0	0	0	66	0	66	103	0.641		Good	Bad			0%	Slime	Uncommon	Arctic
Squid Vine	20	20	15	0	15	70	135	0.519						0%	Plant	Rare	Ocean Coasts
Hangman Eel	24	24	24	0	0	72	95	0.758						0%	Fish	Uncommon	Sulfuric Falls
Jeweled Scarab	0	24	24	24	0	72	105	0.686						0%	Bug	Common	Crystalline Forest
Mote of Mana	15	15	15	15	15	75	130	0.577						0%	Pure Mana	Epic	Shadow Steppe
Slaughtermelon	0	0	0	76	0	76	105	0.724				Bad		-5%	Fruit	Common	Crater
Dragon Tear	0	33	33	11	0	77	118	0.653		Good				5%	Essences	Uncommon	Dragon Oasis
Orchid of the Ice Princess	11	33	0	33	0	77	116	0.664			Good			5%	Flower	Rare	Arctic
Amphithere's Shadow	44	0	44	0	0	88	114	0.772						0%	Essences	Common	Dragon Oasis
Body Snatcher's Sloughed Skin	0	0	0	66	22	88	132	0.667						0%	Flesh	Rare	Crater
Direwolf's-Breath Diamond	0	44	44	0	0	88	118	0.746						0%	Gem	Common	Arctic
Dragon Pheromones	0	0	0	0	88	88	151	0.583			Bad			-5%	Essences	Uncommon	Dragon Oasis
Dragonegg Citrus	0	22	0	0	66	88	124	0.710						0%	Fruit	Uncommon	Dragon Oasis
Elder Being's Tusk	0	66	0	0	22	88	114	0.772		Bad			Good	0%	Bone	Uncommon	Crater
Hellhound Daisy	0	22	0	66	0	88	125	0.704						0%	Flower	Uncommon	Arctic
Space Nautilus's Shell	44	44	0	0	0	88	102	0.863						0%	Mineral	Common	Crater
Widowmaker Pepper	0	44	0	44	0	88	126	0.698						0%	Plant	Common	Dragon Oasis
Acid Pitfall Plant	16	0	40	0	40	96	145	0.662						0%	Plant	Uncommon	Sulfuric Falls
Bioplasm	0	48	32	16	0	96	125	0.768				Bad	Good	0%	Essences	Rare	Sulfuric Falls
Chimera Waste	0	0	64	32	0	96	118	0.814			Bad			-5%	Essences	Common	Crystalline Forest
Harpy's Snare	24	24	24	0	24	96	150	0.640						0%	Plant	Epic	Ice Craggs
Silver Dollop	24	24	24	24	0	96	138	0.696						0%	Slime	Epic	Crystalline Forest
Stalking Skeleton's Fibula	0	0	40	40	16	96	150	0.640						0%	Bone	Uncommon	Ice Craggs
Supernalite	48	32	0	16	0	96	134	0.716	Bad			Good		0%	Mineral	Rare	Ice Craggs
Avalanche Cricket	24	24	32	32	0	112	140	0.800	Good	Bad				0%	Bug	Common	Ice Craggs
Ember of Mana	24	24	24	24	24	120	165	0.727						0%	Pure Mana	Epic	Ice Craggs
Blightroach	0	42	42	42	0	126	185	0.681						0%	Bug	Common	Magical Wasteland
Cyclops Skull	0	0	42	42	42	126	200	0.630						0%	Bone	Common	Magical Wasteland
Lethal Injection Eel	42	42	42	0	0	126	164	0.768						0%	Fish	Common	Magical Wasteland
Death's Embrace	33	33	33	0	33	132	196	0.673						0%	Plant	Epic	Arctic
Dragon Dung	0	0	88	44	0	132	173	0.763			Bad			-5%	Essences	Uncommon	Dragon Oasis
Draugr's Tibia	0	0	55	55	22	132	184	0.717						0%	Bone	Uncommon	Arctic
Gold Dollop	33	33	33	33	0	132	176	0.750						0%	Slime	Rare	Dragon Oasis
Hoarite	55	55	0	22	0	132	167	0.790	Bad			Good		0%	Mineral	Rare	Arctic
Liquid Metal Ore	0	44	88	0	0	132	162	0.815		Bad				-5%	Ores	Common	Crater
Xenoplasm	0	55	55	22	0	132	166	0.795				Bad	Good	0%	Essences	Rare	Crater
Buoyant Blowfish	96	0	48	0	0	144	138	1.043				Bad	Bad	-10%	Fish	Uncommon	Ice Craggs
Charredonnay	48	0	48	24	24	144	260	0.554	Bad					-5%	Fruit	Rare	Sulfuric Falls
Lazuli Ore	64	48	0	0	32	144	174	0.828					Bad	-5%	Ores	Rare	Crystalline Forest
Pegasus Mite	96	48	0	0	0	144	134	1.075		Bad			Bad	-10%	Bug	Uncommon	Crystalline Forest
Poison Quartz	64	48	0	32	0	144	185	0.778					Bad	-5%	Gem	Rare	Sulfuric Falls
Mana Blaze	50	40	30	20	10	150	234	0.641		Good	Good			10%	Pure Mana	Epic	Dragon Oasis
Frost Hopper	33	33	44	44	0	154	196	0.786	Good	Bad				0%	Bug	Common	Arctic
Amethyst Ore	66	66	0	0	33	165	206	0.801					Bad	-5%	Ores	Uncommon	Dragon Oasis
Cosmic Quartz	66	33	0	66	0	165	204	0.809					Bad	-5%	Gem	Uncommon	Crater
Arcane Truffle	0	42	42	42	42	168	236	0.712						0%	Fungus	Rare	Magical Wasteland
Ectoplasm	0	70	70	28	0	168	226	0.743				Bad	Good	0%	Essences	Rare	Magical Wasteland
Lich's Femur	0	0	70	70	28	168	247	0.680						0%	Bone	Uncommon	Magical Wasteland
Nuclear Shadow	0	70	70	28	0	168	228	0.737		Good				5%	Essences	Rare	Magical Wasteland
Orchid of the Witch Queen	28	70	0	70	0	168	248	0.677			Good			5%	Flower	Rare	Magical Wasteland
Platinum Slime	42	42	42	0	0	126	178	0.944						0%	Slime	Rare	Magical Wasteland
Sorcerite	70	70	0	28	0	168	232	0.724	Bad			Good		0%	Mineral	Rare	Magical Wasteland
Venous Witch-Trap	28	0	70	0	70	168	214	0.785						0%	Plant	Uncommon	Magical Wasteland
Witchbramble Vine	42	42	42	0	42	168	210	0.800						0%	Plant	Rare	Magical Wasteland
Shallow Grave Enoki	32	64	64	32	0	192	200	1.920		Bad	Bad			-10%	Fungus	Rare	Crystalline Forest
Dragonblood Tick	132	66	0	0	0	198	174	1.138		Bad			Bad	-10%	Bug	Uncommon	Dragon Oasis
Icicle Pufferfish	132	0	66	0	0	198	210	0.943				Bad	Bad	-10%	Fish	Uncommon	Arctic
Xeno Noir	66	0	66	33	33	198	236	0.839	Bad					-5%	Fruit	Rare	Crater
Blackgold Ore	84	84	0	0	42	210	256	0.820					Bad	-5%	Ores	Uncommon	Magical Wasteland
Mana Heart	28	28	28	98	28	210	450	0.467	Good		Good			10%	Pure Mana	Epic	Magical Wasteland
Mana Maelstrom	98	28	28	28	28	210	375	0.560				Good	Good	10%	Pure Mana	Epic	Magical Wasteland
Mana Prism	28	28	98	28	28	210	425	0.494		Good		Good		10%	Pure Mana	Epic	Magical Wasteland
Mana Singularity	28	28	28	28	98	210	475	0.442			Good		Good	10%	Pure Mana	Epic	Magical Wasteland
Mana Vortex	28	98	28	28	28	210	400	0.525	Good				Good	10%	Pure Mana	Epic	Magical Wasteland
Hocus Locust	28	28	140	28	0	224	287	0.780	Good	Bad				0%	Bug	Epic	Magical Wasteland
Underworld Pomegranate	28	28	28	140	0	224	332	0.675	Good			Bad		0%	Fruit	Epic	Magical Wasteland
Funeral Pyre Enoki	88	88	44	44	0	264	280	0.943		Bad	Bad			-10%	Fungus	Epic	Dragon Oasis
Sinfandel	80	0	80	80	40	280	362	0.773	Bad					-5%	Fruit	Rare	Magical Wasteland
Mass Grave Enoki	56	112	112	56	0	336	386	0.870		Bad	Bad			-10%	Fungus	Rare	Magical Wasteland
Arcane Quartz	84	0	0	84	42	210	264	0.853					Bad	-5%	Gem	Uncommon	Magical Wasteland
Weeping Metal Ore	0	32	64	0	0	96	66			Bad				-5%	Ore	Common	Sulfuric Falls
Snowflake Spore	0	66	0	22	0	88	108		Bad		Good			0%	Fungus	Common	Arctic
Yeti Antler	0	0	88	0	0	88	104		Bad					-5%	Bone	Common	Arctic
Mana Conflagration	35	45	55	65	75	275	316				Bad	Bad		-10%	Pure Mana	Epic	Arctic
Magma Beetle	0	33	33	33	0	99	124							0%	Bug	Common	Dragon Oasis
Spark of Mana	33	33	33	33	33	165	215							0%	Pure Mana	Epic	Crater
Cosmic Cassava	0	66	0	0	0	66	82		Bad				Good	-5%	Plant	Common	Crater
Armored Pudding	44	0	0	44	0	88	115							0%	Slime	Common	Crater
Stalking Mold	22	0	0	0	66	88	123							0%	Fungus	Common	Crater
Inverted Bramble-Rose	22	0	0	0	0	22	46			Good			Good	10%	Flower	Uncommon	Crater
Barracuda Plant	22	0	55	0	55	132	172							0%	Plant	Common	Crater
Guillotine Eel	33	33	33	0	0	99	126							0%	Fish	Common	Crater
Dazzling Mana	42	42	42	42	42	210	345			Good	Good			10%	Pure Mana	Epic	Magical Wasteland
